meetingName,meetingDate,raceNumber,runnerNumber,Unnamed: 0,location,weatherCondition,trackCondition,raceName,raceStartTime,raceDistance,trackDirection,raceClassConditions,runnerName,riderName,finishingPosition,FixedWinOpen,FixedWinClose,overall (runner starts),track (runner starts),firm (runner starts),good (runner starts),dead (runner starts),slow (runner starts),soft (runner starts),heavy (runner starts),distance (runner starts),classSame (runner starts),classStronger (runner starts),firstUp (runner starts),secondUp (runner starts),trackDistance (runner starts),overall (runner wins),track (runner wins),firm (runner wins),good (runner wins),dead (runner wins),slow (runner wins),soft (runner wins),heavy (runner wins),distance (runner wins),classSame (runner wins),classStronger (runner wins),firstUp (runner wins),secondUp (runner wins),trackDistance (runner wins),overall (runner placings),track (runner placings),firm (runner placings),good (runner placings),dead (runner placings),slow (runner placings),soft (runner placings),heavy (runner placings),distance (runner placings),classSame (runner placings),classStronger (runner placings),firstUp (runner placings),secondUp (runner placings),trackDistance (runner placings),track (trainer starts),region (trainer starts),last30Days (trainer starts),last12Months (trainer starts),jockey (trainer starts),track (trainer wins),region (trainer wins),last30Days (trainer wins),last12Months (trainer wins),jockey (trainer wins),track (trainer placings),region (trainer placings),last30Days (trainer placings),last12Months (trainer placings),jockey (trainer placings),track (rider starts),region (rider starts),last30Days (rider starts),last12Months (rider starts),runner (rider starts),track (rider wins),region (rider wins),last30Days (rider wins),last12Months (rider wins),runner (rider wins),track (rider placings),region (rider placings),last30Days (rider placings),last12Months (rider placings),runner (rider placings)
SANDOWN,02/02/2022 12:00:00 AM,1,3,,,SHWRY,GOOD3,LADBROKE IT HANDICAP,02/02/2022 03:40:00 PM,1300,,2Y-0MW,SPACE JOURNEY,J.HILL,0.0,5.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,150,29,440,17,3,15,2,53,3,3,34,11,113,6,8,39,52,658,0,0,1,6,72,0,0,3,8,136,0
SANDOWN,02/02/2022 12:00:00 AM,1,2,,,SHWRY,GOOD3,LADBROKE IT HANDICAP,02/02/2022 03:40:00 PM,1300,,2Y-0MW,PRINCE OF CAIRO,D.THORNTON,0.0,5.0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,191,52,589,16,2,12,4,43,2,6,42,13,135,2,23,299,57,918,0,4,31,8,119,0,6,48,10,212,0
SANDOWN,02/02/2022 12:00:00 AM,1,5,,,SHWRY,GOOD3,LADBROKE IT HANDICAP,02/02/2022 03:40:00 PM,1300,,2Y-0MW,TORONTO TERRIER,J.MC NEIL,3.0,3.8,3.4,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,21,193,29,417,28,2,18,2,45,4,1,37,7,87,10,29,402,71,748,1,2,45,9,104,0,8,109,17,207,1
SANDOWN,02/02/2022 12:00:00 AM,1,4,,,SHWRY,GOOD3,LADBROKE IT HANDICAP,02/02/2022 03:40:00 PM,1300,,2Y-0MW,SUIZURO,M.J DEE,0.0,5.0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,225,47,705,48,1,20,6,83,6,4,36,12,150,9,26,277,51,740,0,3,24,9,73,0,6,50,10,145,0
SANDOWN,02/02/2022 12:00:00 AM,1,7,,,SHWRY,GOOD3,LADBROKE IT HANDICAP,02/02/2022 03:40:00 PM,1300,,2Y-0MW,RUTHLESS DAME,J.KAH,1.0,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,524,100,1543,48,7,81,21,302,13,21,148,21,433,11,49,379,67,520,0,6,68,9,106,0,16,102,27,146,0
SANDOWN,02/02/2022 12:00:00 AM,1,6,,,SHWRY,GOOD3,LADBROKE IT HANDICAP,02/02/2022 03:40:00 PM,1300,,2Y-0MW,TOUCH OF NAVY,M.J.ZAHRA,4.0,6.5,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,253,40,843,19,5,33,3,131,6,5,51,12,203,5,20,144,29,205,0,4,25,3,41,0,3,37,6,47,0
SANDOWN,02/02/2022 12:00:00 AM,1,1,,,SHWRY,GOOD3,LADBROKE IT HANDICAP,02/02/2022 03:40:00 PM,1300,,2Y-0MW,MAROUBRA,C.NEWITT,2.0,41.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,253,40,843,48,5,33,3,131,6,5,51,12,203,12,27,259,69,1002,0,4,16,9,94,0,1,35,10,175,0
SANDOWN,02/02/2022 12:00:00 AM,2,3,,,SHWRY,GOOD3,LADBROKES SWITCH PLATE,02/02/2022 04:15:00 PM,1400,,3Y+MSW,TWELVE GAUGE,Harry Grace,0.0,71.0,201.0,31,0,0,17,20,6,10,4,14,31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3,1,2,0,1,4,0,0,0,0,1,5,23,288,0,0,0,1,3,0,0,0,0,15,0,6,20,31,273,1,0,1,3,13,0,2,3,4,40,0
SANDOWN,02/02/2022 12:00:00 AM,2,11,,,SHWRY,GOOD3,LADBROKES SWITCH PLATE,02/02/2022 04:15:00 PM,1400,,3Y+MSW,SUSANNE JOY,J.HILL,4.0,5.0,7.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,17,150,29,440,17,3,15,2,53,3,3,34,11,113,6,8,39,52,658,1,0,1,6,72,0,0,3,8,136,1
SANDOWN,02/02/2022 12:00:00 AM,2,2,,,SHWRY,GOOD3,LADBROKES SWITCH PLATE,02/02/2022 04:15:00 PM,1400,,3Y+MSW,STAGGER TOGETHER,Z.SPAIN,0.0,4.4,10.0,3,0,0,2,1,0,0,1,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,2,0,1,1,0,3,9,4,120,12,0,0,0,12,1,0,0,1,29,5,5,81,46,651,2,0,8,5,61,0,0,11,15,133,1
